mags_ab,pos_errs_mas
16.0,0.32463500668383904
16.1,0.3400532639015935
16.2,0.3562732781896559
16.3,0.29223830047217075
16.4,0.3060411239098368
16.5,0.30983073872304207
16.6,0.32454916512499893
16.7,0.3290564007128473
16.8,0.34478813785983414
16.9,0.3498299440290692
17.0,0.35497654805338
17.1,0.3600741137716623
17.2,0.37751866306202997
17.3,0.4682446650477638
17.4,0.47429406155202447
17.5,0.4655498731641071
17.6,0.4728325656745988
17.7,0.48014748761133946
17.8,0.4705295583569811
17.9,0.47973154259151907
18.0,0.26185016881407686
18.1,0.27434571979142713
18.2,0.2875109411253007
18.3,0.30141390906386895
18.4,0.3159689573103105
18.5,0.33144195128088566
18.6,0.3477878461207626
18.7,0.36497549712857513
18.8,0.38310368705318987
18.9,0.40224971852123614
19.0,0.4224443802444872
19.1,0.4440255793466049
19.2,0.4666536799361137
19.3,0.49088488949518067
19.4,0.5158722642725323
19.5,0.5431131332173872
19.6,0.5720885183581258
19.7,0.6029401243205433
19.8,0.6358241409526476
19.9,0.6709923081243616
20.0,0.7084173269311229
20.1,0.7484462554369441
20.2,0.7875164221111061
20.3,0.8328860154609996
20.4,0.8814333051862426
20.5,0.9276668325881811
20.6,0.9770699965189578
20.7,1.0313654453761414
20.8,1.0937946119861957
20.9,1.1554721430260864
21.0,1.227159730968198
21.1,1.3045074912223502
21.2,1.388060591785406
21.3,1.4665730729674191
21.4,1.5622414285929755
21.5,1.6662261825659916
21.6,1.778968152232809
21.7,1.8858086150516071
21.8,2.0004475836629494
21.9,2.129520918666811
22.0,2.280322445855776
22.1,2.430505956497554
22.2,2.60735813824744
22.3,2.8000365688499618
22.4,3.010104539467437
22.5,3.2392776161466736
22.6,3.459513614973374
22.7,3.728908058768334
22.8,4.023219217540949
22.9,4.324091845464959
23.0,4.615921872207329
23.1,4.8830943078266795
23.2,5.279713706956476
23.3,5.673093064320583
23.4,6.142861108647679
23.5,6.65700743173587
23.6,7.219866374546829
23.7,7.836187378635157
23.8,8.511180373754613
23.9,9.250552424130541
24.0,10.060564472620241
24.1,10.94807539230764
24.200000000000003,11.784535179674373
24.3,12.834793452002259
24.4,13.985818369022311
24.5,15.247368811437358
24.6,16.630146444435585
24.700000000000003,18.145884436541266
24.8,19.807442233496488
24.9,21.62892081649497
25.0,23.625776753159908
25.1,25.81495787123552
25.200000000000003,28.215047000411186
25.3,30.84641277120059
25.4,33.731396011470764
25.5,36.53107050594735
25.6,39.95856765148246
25.700000000000003,43.71651857087301
25.8,47.83682495753558
25.9,52.354457936983884
26.0,57.30777393188911
