mags_ab,pos_errs_mas
16.0,0.21051951742041625
16.135,0.22315493729183683
16.27,0.23386309399774324
16.405,0.24617286033530772
16.54,0.2319197135739054
16.675,0.24098495074806556
16.81,0.2498858855703651
16.945,0.2525010574716186
17.08,0.2685055877391164
17.215,0.28557162188498253
17.35,0.29798600277374937
17.485,0.31700070103754324
17.62,0.33126029486278974
17.755,0.3352125486505785
17.89,0.293253053279462
18.025,0.2826702043334477
18.16,0.3017429366529167
18.295,0.32243972403551274
18.43,0.34444436521315785
18.565,0.3637929530021626
18.7,0.35749525154999795
18.835,0.37757409399851816
18.97,0.2514045523407119
19.105,0.26887430624099506
19.240000000000002,0.2878319947797209
19.375,0.30843729241569745
19.51,0.33087196572900707
19.645,0.3553434254009194
19.78,0.38209252405346394
19.915,0.4113823020650449
20.05,0.44358784523538
20.185000000000002,0.47891737061929024
20.32,0.5178576329081837
20.455,0.5608639147802564
20.59,0.6084677227435514
20.725,0.6612733721420934
20.86,0.7199701700648475
20.995,0.7853455136238793
21.130000000000003,0.8583438890781167
21.265,0.939871242549502
21.4,1.0314342811546573
21.535,1.1341368211939356
21.67,1.2491260697569286
21.805,1.3784043431323465
21.94,1.5239062841980515
22.075,1.6878252436336607
22.21,1.8726472109071552
22.345,2.0811885312163065
22.48,2.316639064649795
22.615000000000002,2.5845405090410853
22.75,2.8859589668533077
22.885,3.2259557252726734
23.02,3.6104525395280174
23.155,4.045385140540183
23.29,4.537473465412121
23.425,5.094323745602875
23.560000000000002,5.72454676104373
23.695,6.439755983588718
23.83,7.24735843692962
23.965,8.16162667732595
24.1,9.196709036410065
24.235,10.368627391839766
24.37,11.695518591402216
24.505000000000003,13.197923895476356
24.64,14.89909715891124
24.775,16.82537483289118
24.91,19.006570530329906
25.045,21.4764523093955
25.18,24.273253413070286
25.315,27.44026803512742
25.450000000000003,31.026524095347142
25.585,35.08753148405767
25.72,39.68616313201864
25.855,44.89360368688657
25.990000000000002,50.79046492825624
26.125,57.468027645895766
26.26,65.02967605936479
26.395000000000003,73.59245286529651
26.53,83.28891371968318
26.665,94.269166178164
26.8,106.70318480301363
26.935000000000002,120.7834525185413
27.07,136.72792961589568
27.205,154.78345469381608
27.34,175.22951813556006
27.475,198.38263437166083
27.61,224.6012356250667
27.745,254.2911756509643
27.880000000000003,287.91205168991337
28.015,325.98433421764213
28.15,369.09741884753095
28.285,417.9186964577668
28.42,473.20386654908486
28.555,535.8089148646326
28.69,606.702763622197
28.825000000000003,686.9830790765171
28.96,777.8924496027142
29.095,880.8383604597658
29.23,997.4141786902206
29.365000000000002,1129.424790252359
29.5,1278.9136572225664
