mags_ab,pos_errs_mas
16.0,0.21168011694610733
16.135,0.2243091645142291
16.27,0.22551656299260897
16.405,0.23919513192724293
16.54,0.25118256483613227
16.675,0.22702220884252006
16.81,0.23274164373569917
16.945,0.24659740466825192
17.08,0.2620576510009646
17.215,0.26259455872160486
17.35,0.2784015430124619
17.485,0.29555414452991424
17.62,0.3105258648089604
17.755,0.3307679817917348
17.89,0.3505324769318651
18.025,0.28832191558850906
18.16,0.3071687637080815
18.295,0.32802745246834564
18.43,0.34829463122265075
18.565,0.3740255984895524
18.7,0.3967280249513739
18.835,0.4252597102529186
18.97,0.45126112763805337
19.105,0.3606291326269399
19.240000000000002,0.37771012337504195
19.375,0.4049424473651043
19.51,0.4345756719712704
19.645,0.46688258196991
19.78,0.5021745045253984
19.915,0.5408072414564175
20.05,0.5831875666880028
20.185000000000002,0.6297807012548727
20.32,0.611961066031807
20.455,0.6336013780275818
20.59,0.6865458059580285
20.725,0.7451699664461267
20.86,0.8102219969763202
20.995,0.8825560586392592
21.130000000000003,0.962940929316913
21.265,1.0526242232966105
21.4,1.0556581674051353
21.535,1.1602898356857054
21.67,1.2777419462924713
21.805,1.4102064380537016
21.94,1.5593030225449378
22.075,1.7272372001176937
22.21,1.9166817519707777
22.345,2.1304518443190696
22.48,2.371818305675587
22.615000000000002,2.6444844513191375
22.75,2.9276432668042065
22.885,3.2437168715948417
23.02,3.6298474118812463
23.155,4.066616330030666
23.29,4.560771434958521
23.425,5.119950489186495
23.560000000000002,5.7527999378524095
23.695,6.469109020401077
23.83,7.279960508697537
23.965,8.041470786480708
24.1,9.000532469294832
24.235,10.146513083748372
24.37,11.444028578838058
24.505000000000003,12.913165332481833
24.64,14.576662173247795
24.775,16.460272193174784
24.91,18.59314855410413
25.045,20.860622891847324
25.18,23.576852116498003
25.315,26.652628215576723
25.450000000000003,30.135566653859808
25.585,34.079578111995055
25.72,38.54572417183086
25.855,43.60313866277202
25.990000000000002,49.330110939009714
26.125,55.8152919850034
26.26,63.15908749767715
26.395000000000003,71.47516814819751
26.53,80.89227061977404
26.665,91.55617781708912
26.8,103.63196727192842
26.935000000000002,117.30657639315474
27.07,132.7916859432106
27.205,150.3270229876829
27.34,170.18402566139733
27.475,192.67008947197277
27.61,218.13332002619822
27.745,246.96787824551723
27.880000000000003,279.6201201408456
28.015,316.5955211771914
28.15,358.4664961790841
28.285,405.8812081556659
28.42,459.57358452686464
28.555,520.3749496744891
28.69,589.2263106625279
28.825000000000003,667.1937094082238
28.96,755.4839347045164
29.095,855.4639214198113
29.23,968.6811309115691
29.365000000000002,1096.888449442396
29.5,1242.0704658966356
