mags_ab,pos_errs_mas
16.0,0.3510324346030406
16.135,0.35378279803886004
16.27,0.3561716134484873
16.405,0.23251294843684608
16.54,0.2475083341628506
16.675,0.26359165209503044
16.81,0.28085175025873477
16.945,0.29938758891209144
17.08,0.31930858826729913
17.215,0.34073718131942105
17.35,0.36385570391149563
17.485,0.3886922264044229
17.62,0.4153130843308459
17.755,0.4440053527413882
17.89,0.47522400250971764
18.025,0.5089988333910967
18.16,0.5456341088011699
18.295,0.5855005253297138
18.43,0.6288698625991308
18.565,0.6760988300221615
18.7,0.727814074732137
18.835,0.7823195651903724
18.97,0.8439793625546509
19.105,0.9118022963185666
19.240000000000002,0.9865517273361031
19.375,1.0691193588362036
19.51,1.1605242782756247
19.645,1.2553057343517076
19.78,1.35892546974396
19.915,1.4794630416214651
20.05,1.6157249850119895
20.185000000000002,1.767901862392842
20.32,1.9381457899234464
20.455,2.128904415696779
20.59,2.342959170320843
20.725,2.5834689472833854
20.86,2.803087007986571
20.995,3.0790438694856226
21.130000000000003,3.4090682643825616
21.265,3.781096300679004
21.4,4.197695671768793
21.535,4.670880994793622
21.67,5.203388223447541
21.805,5.806827303862505
21.94,6.431947716732676
22.075,7.194269489251632
22.21,8.056646997285133
22.345,9.032216408333195
22.48,10.136345483989464
22.615000000000002,11.385874901290236
22.75,12.800133431812835
22.885,14.400998159108049
23.02,16.06433628077299
23.155,17.924050225122816
23.29,20.19953302735094
23.425,22.775845476053217
23.560000000000002,25.69286268090539
23.695,28.99573775589239
23.83,32.735598322745325
23.965,36.97033575980806
24.1,41.765498711369055
24.235,46.30721297305086
24.37,51.99473441163752
24.505000000000003,58.77436718003886
24.64,66.4514464210123
24.775,75.14482872132494
24.91,84.98906805742682
25.045,96.1365708062589
25.18,108.75989998137484
25.315,122.22923087569437
25.450000000000003,138.30532142893512
25.585,156.5097944816174
25.72,177.12449453946599
25.855,200.46852799136516
25.990000000000002,226.90326403513123
26.125,256.8379002481136
26.26,290.73589598271866
26.395000000000003,329.1219392301778
26.53,372.59026442773194
26.665,421.81378969687677
26.8,477.5544958656597
26.935000000000002,540.6752692946798
27.07,612.1532090224782
27.205,693.0948752251029
27.34,784.7532041720683
27.475,888.5471067151244
27.61,1006.0834140032374
27.745,1139.1815394183382
27.880000000000003,1289.9018301055823
28.015,1460.5775221308058
28.15,1653.850841395009
28.285,1872.713661026288
28.42,2120.5537351441358
28.555,2401.2083904634305
28.69,2719.021250494837
28.825000000000003,3078.9130911759803
28.96,3486.454356152764
29.095,3947.9547239681215
29.23,4470.557155543185
29.365000000000002,5062.352849866888
29.5,5732.502527535143
